,name,label
33,ACEITES BORGES PONT S.A.U.,shipper
81,AGROFOODS CENTRAL VALLEY CHILE S.A.,shipper
123,ALEX APPAREL.,shipper
198,"ANGEL CAMACHO ALIMENTACION, SL",shipper
222,"APEX MARITIME (SHANGHAI) CO., LTD.",shipper
224,"APEX MARITIME (SHENZHEN) CO., LTD",shipper
253,APM GLOBAL LOGISTICS BANGLADESH LTD,shipper
347,BALATANA SA,shipper
351,BANANERA NACIONAL S A,shipper
377,BEIJING KANG JIE KONG INTERNATIONAL,shipper
551,CARIBBEAN PINEAPPLE EXPORT SA,shipper
995,DAMCO CHINA LIMITED O/B,shipper
1003,DAMCO CHINA LIMITED SHENZHEN BRAN,shipper
1042,DAMCO ON BEHALF OF,shipper
1154,DAMCO SHENZHEN O/B,shipper
1432,DAVID DEL CURTO S.A.,shipper
1439,DE WELL CONTAINER SHIPPING INC.,shipper
1519,DOLE CHILE S.A.,shipper
1704,EINS S A,shipper
1729,"ENRIQUE GARRIGOS MONERRIS, S.A.",shipper
1829,EXPORTADORA RIO BLANCO LTDA.,shipper
2123,GHIM LI CAMBODIA PTE LTD,shipper
2376,HANSAE INTERNATIONAL SA,shipper
2394,HASBRO INTERNATIONAL TRADING B V,shipper
2665,ISTMO TEXTIL NICARAGUA SA,shipper
2749,JAS OCEAN SERVICES INC,shipper
2827,JIEYANG TOP-TIPS DAILY USE PRODUCT,shipper
2950,KIDDIELAND TOYS LIMITED,shipper
3384,MATTEL BRANDS A DIVISION OF MATTEL,shipper
3518,MODAS KOTOP S A,shipper
3693,NICE IMPACT LIMITED,shipper
3884,"OEC LOGISTICS (QING DAO) CO., LTD.",shipper
3897,OLEICOLA HOJIBLANCA SA,shipper
3918,OOCL LOGISTICS (CHINA) LIMITED O/B,shipper
4061,PHILPACK,shipper
4180,PT. GREAT GIANT PINEAPPLE,shipper
4368,S.C. SAM TRADE S.R.L.,shipper
4378,S&H GLOBAL SA,shipper
4396,SALMONES MULTIEXPORT S.A.ORAFTI CHILE S.A.,shipper
4462,SAM SOL S A,shipper
4463,"SAM SOL, S. A.",shipper
4465,"SAM SOL, S.A.",shipper
4567,SCHENKER CHINA LTD.,shipper
4618,SERATEX NICARAGUA S A,shipper
4865,SOLEX INTERNATIONAL INC.,shipper
4916,"STAR KIST SAMOA, INC",shipper
4975,SUPER KINGDOM INTERNATIONAL CORP.,shipper
5002,SW GUATEMALA S A,shipper
5071,TEAMGLOBAL LOGISTICS PVT LTD TIME,shipper
5263,TROPICAL RICA INTERNATIONAL TRI S A,shipper
5338,UNICORD PUBLIC COMPANY LIMITED,shipper
5382,UPALA AGRICOLA S A,shipper
5568,"WIN CORPORATIONVIET HOANG CO., LTD",shipper
5580,WINNERS SOCIEDAD ANONIMA,shipper
5674,"YANG&YOUNG INTERNATIONAL CO.,LTD.",shipper
6061,"APEX MARITIME CO. (LAX), INC.",consignee
6067,"APEX MARITIME CO., INC.",consignee
6217,BORGES USA INC. 2680 WEST SHAW LANE,consignee
6454,COMERCIALIZADORA MEXICO AMERICANA S,consignee
6546,DAMCO USA INC (ATLANTA),consignee
6569,"DE WELL CONTAINER SHIPPING,INC.",consignee
6577,DEL MONTE CORPORATION,consignee
7278,JAS FORWARDING USA INC,consignee
7371,KIDDIELAND TOY INC.,consignee
7396,KMART CORPORATIONCROWN MARK INC.,consignee
7512,"LIBERTY GOLD FRUIT CO., INC",consignee
7513,"LIBERTY GOLD FRUIT CO., INC.",consignee
7518,LIBERTY GOLD FRUIT COY.,consignee
7806,MULTIEXPORT FOODS INC.BENEO INC.,consignee
7896,NORTHDOWN INDUSTRIES INC,consignee
7927,OEC FREIGHT (NY) INC.,consignee
7991,"PACIFIC MARKET INTERNATIONAL,LLC",consignee
8328,SAM MILLS USA LLC,consignee
8434,SCHENKER INTL.D/B/A SEA CARGO INTL,consignee
8481,SHIPCO TRANSPORT INC,consignee
8493,"SHYE WORLDWIDE,LLC",consignee
8534,SOLEX LOGISTICS INC. (LAX),consignee
8575,SPC GLOBAL LLC,consignee
8611,STARKIST CO.,consignee
8670,SWIFF-TRAIN COMPANY,consignee
8748,"THE JOSEPH A. BANK, INC",consignee
8980,"U.S. COTTON, LLC",consignee
9040,UNTO THE ORDER OF,consignee
9156,WAL-MART CANADA CORP.,consignee
9169,WAL-MART PUERTO RICO/AMIGO DIVISION,consignee
9176,"WAL-MART STORE,INC.",consignee
9182,WAL-MART STORES INC. USA,consignee
9219,WALMART STORES INC,consignee
9222,WALMART STORES INC.,consignee
